zero zero 2.0 one 22.0 zero zero NAN NAN zero 49.0 one 32.0 zero
zero one 1.0 zero 42.0 zero zero one zero zero 49.0 one 46.0 one
one one 2.0 NAN 37.0 zero zero one zero three 39.0 one 47.0 one
zero zero 1.0 zero 46.0 one zero one NAN zero 39.0 one 40.0 zero
zero NAN 6.0 zero 8.0 NAN zero zero zero one 71.0 one -1.0 zero
zero zero 0.0 zero 21.0 one zero zero NAN zero -1.0 one 31.0 zero
one zero -1.0 zero 8.0 zero NAN zero zero two 45.0 one 18.0 zero
zero one 4.0 three 18.0 zero zero one zero NAN 59.0 one 10.0 zero
one one 3.0 NAN -1.0 zero zero one zero zero 49.0 one 48.0 one
one zero 0.0 zero 17.0 zero zero zero zero zero 55.0 one 19.0 zero
zero zero 4.0 three 34.0 zero zero one zero NAN -1.0 one 20.0 zero
zero zero 3.0 zero -1.0 zero NAN one zero zero 47.0 one 29.0 zero
one one 1.0 zero 16.0 zero zero NAN zero zero 47.0 one 26.0 one
zero one 9.0 zero 17.0 one zero zero NAN NAN 39.0 one 1.0 zero
one zero 2.0 zero 9.0 zero zero zero zero zero -1.0 one 2.0 zero
one one 1.0 zero 18.0 zero zero one zero zero 47.0 one 28.0 zero
one zero 6.0 zero 11.0 zero zero zero zero zero 39.0 one 21.0 zero
one zero 3.0 two 16.0 zero zero one zero zero 47.0 one -1.0 zero
one zero 2.0 two 32.0 one one zero zero two -1.0 one -1.0 zero
zero zero -1.0 one 24.0 zero zero one zero zero 53.0 one 3.0 NAN
NAN NAN 3.0 two 38.0 zero zero one zero three 59.0 one 48.0 one
zero one 4.0 two 25.0 zero zero one NAN NAN 41.0 one 10.0 zero
zero zero 3.0 NAN 65.0 zero zero one zero zero 39.0 one 45.0 zero
zero zero -1.0 one 18.0 one NAN NAN zero zero 39.0 one 18.0 zero
one zero 3.0 zero 27.0 zero NAN zero zero one 47.0 one 15.0 zero
zero zero 6.0 four 57.0 zero zero NAN zero zero 39.0 one 67.0 zero
one zero 3.0 two 29.0 one zero one zero NAN 47.0 NAN 13.0 zero
zero one 3.0 NAN 16.0 one one zero zero NAN 39.0 one 6.0 zero
zero zero 5.0 zero 12.0 NAN zero zero zero zero 41.0 one 22.0 zero
zero zero 3.0 two -1.0 zero zero one NAN two 39.0 one 40.0 one
zero one 4.0 three 30.0 zero zero one zero two 59.0 one 40.0 one
zero one -1.0 NAN 44.0 zero zero one NAN two 63.0 one 28.0 one
one one 0.0 zero 16.0 zero zero zero zero three 54.0 one 26.0 one
one zero 3.0 two 27.0 one zero one zero zero 47.0 one -1.0 zero
zero one 2.0 one 36.0 zero NAN NAN zero two 59.0 one 26.0 NAN
zero one 5.0 zero 7.0 zero zero zero zero one 39.0 one 17.0 zero
NAN zero 1.0 zero 43.0 one zero one zero zero 39.0 NAN 12.0 zero
zero NAN 3.0 two 28.0 zero zero one zero one 89.0 zero 31.0 one
zero NAN 3.0 two 44.0 NAN zero one zero zero 39.0 one 54.0 one
zero zero 2.0 one 43.0 one zero one zero two 39.0 NAN 30.0 zero
zero one 6.0 three 39.0 zero zero one NAN zero 47.0 one 40.0 one
zero zero 2.0 two -1.0 NAN one zero zero one 47.0 one 35.0 zero
